Time Bucket (America/New_York),Barn-Mains_A (kWatts),Barn-Mains_B (kWatts),Barn-Mains_C (kWatts),Barn-Clothes Dryer-Dryer (kWatts),Barn-Water Heater-Water Heater (kWatts),Barn-Other-garage lights? (kWatts),Barn-Other-Radon & (kWatts),Barn-Circuit_5 (kWatts),Barn-Circuit_6 (kWatts),Barn-Circuit_7 (kWatts),Barn-Pump-Well  (kWatts),Barn-Heat Pump-Heat Pump (kWatts),Barn-Other-Kitchen Outlets (kWatts),Barn-Other-Master Bedroom (kWatts),Barn-Circuit_12 (kWatts),Barn-Circuit_13 (kWatts),Barn-Circuit_14 (kWatts),Barn-Kitchen-Kitchen Stove (kWatts),Barn-Circuit_16 (kWatts)
01/14/2026 12:15:00,2.2320,1.8922,No CT,0.0000,1.8681,0.0022,0.1856,0.0000,No CT,0.0003,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/14/2026 12:30:00,1.4057,1.1309,No CT,0.0000,0.0000,0.0000,0.1762,0.0000,0.0000,0.0000,0.0293,1.6479,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/14/2026 12:45:00,1.4412,2.3689,No CT,0.0000,0.0000,0.0000,0.1885,0.0000,0.0000,0.0006,0.0169,1.6524,1.1927,0.3578,0.0222,0.0122,0.0438,0.0321,0.0811
01/14/2026 13:00:00,1.6041,2.0050,No CT,0.0000,0.5137,0.0008,0.1841,0.0000,0.0000,0.0000,0.0022,1.3806,0.7401,0.3826,0.0524,0.0131,0.0431,0.0296,0.0781
01/14/2026 13:15:00,1.6966,1.8120,No CT,0.0000,0.8561,0.0013,0.1848,0.0000,0.0000,0.0001,0.0034,1.1778,0.4894,0.3922,0.0649,0.0137,0.0435,0.0281,0.0777
01/14/2026 13:30:00,1.6114,1.6338,No CT,0.0000,0.2062,0.0003,0.1844,0.0000,0.0000,0.0006,0.0018,1.6722,0.2997,0.3274,0.0590,0.0143,0.0436,0.0498,0.0769
01/14/2026 13:45:00,1.4593,1.9394,No CT,0.0000,0.0000,0.0000,0.1820,0.0000,0.0000,0.0016,0.0027,1.6617,0.7856,0.3745,0.0373,0.0125,0.0424,0.0285,0.0768
01/14/2026 14:00:00,1.0578,1.0355,No CT,0.0000,0.0000,0.0000,0.1849,0.0000,0.0000,0.0000,0.0145,0.8693,0.2792,0.3862,0.0228,0.0145,0.0433,0.0182,0.0763
01/14/2026 14:15:00,1.4809,1.1539,No CT,0.0000,0.0000,0.0000,0.1857,0.0000,0.0000,0.0000,0.0000,1.6446,0.0095,0.3847,0.0596,0.0158,0.0438,0.0210,0.0765
01/14/2026 14:30:00,1.4612,1.1502,No CT,0.0000,0.0000,0.0000,0.1854,0.0000,0.0000,0.0000,0.0000,1.6339,0.0095,0.3632,0.0665,0.0157,0.0439,0.0205,0.0763
01/14/2026 14:45:00,1.4159,1.1136,No CT,0.0000,0.0000,0.0000,0.1849,0.0000,0.0000,0.0000,0.0000,1.5681,0.0094,0.3605,0.0583,0.0157,0.0438,0.0199,0.0762
01/14/2026 15:00:00,1.3687,1.1058,No CT,0.0000,0.0000,0.0000,0.1830,0.0000,0.0000,0.0000,0.0000,1.5556,0.0094,0.3465,0.0333,0.0156,0.0435,0.0191,0.0756
01/14/2026 15:15:00,2.9624,2.7405,No CT,0.0000,2.4988,0.0043,0.1862,0.0000,0.0000,0.0013,0.6285,1.5739,0.0108,0.3235,0.0243,0.0151,0.0450,0.0391,0.0769
01/14/2026 15:30:00,3.8191,3.6032,No CT,0.0000,4.5661,0.0071,0.1897,0.0000,0.0000,0.0007,0.1944,1.6262,0.0117,0.2842,0.0633,0.0147,0.0468,0.0491,0.0792
01/14/2026 15:45:00,3.2430,3.1823,No CT,0.0000,4.3923,0.0062,0.1820,0.0000,0.0000,0.0002,0.0147,1.1996,0.0109,0.1216,0.0607,0.0136,0.0451,0.0406,0.0754
01/14/2026 16:00:00,3.2296,3.2733,No CT,0.0000,4.4554,0.0066,0.1821,0.0000,0.0000,0.0003,0.0155,1.3085,0.0110,0.0246,0.0564,0.0135,0.0459,0.0400,0.0761
01/14/2026 16:15:00,3.2209,3.2589,No CT,0.0000,3.9878,0.0062,0.1824,0.0000,0.0000,0.0006,0.0148,1.7509,0.0110,0.0245,0.0608,0.0138,0.0458,0.0400,0.0761
01/14/2026 16:30:00,1.0941,1.1206,No CT,0.0000,0.0000,0.0000,0.1811,0.0000,0.0000,0.0000,0.0000,1.5906,0.0092,0.0273,0.0608,0.0146,0.0440,0.0139,0.0735
01/14/2026 16:45:00,0.7665,0.8236,No CT,0.0000,0.0000,0.0000,0.1807,0.0000,0.0000,0.0000,0.0000,1.0150,0.0089,0.0276,0.0278,0.0143,0.0438,0.0092,0.0730
01/14/2026 17:00:00,1.0623,1.1249,No CT,0.0000,0.0000,0.0000,0.1808,0.0000,0.0000,0.0000,0.0000,1.5989,0.0092,0.0273,0.0258,0.0146,0.0439,0.0135,0.0734
