Time Bucket (America/New_York),Barn-Mains_A (kWhs),Barn-Mains_B (kWhs),Barn-Mains_C (kWhs),Barn-Clothes Dryer-Dryer (kWhs),Barn-Water Heater-Water Heater (kWhs),Barn-Other-garage lights? (kWhs),Barn-Other-Radon & (kWhs),Barn-Circuit_5 (kWhs),Barn-Circuit_6 (kWhs),Barn-Circuit_7 (kWhs),Barn-Pump-Well  (kWhs),Barn-Heat Pump-Heat Pump (kWhs),Barn-Other-Kitchen Outlets (kWhs),Barn-Other-Master Bedroom (kWhs),Barn-Circuit_12 (kWhs),Barn-Circuit_13 (kWhs),Barn-Circuit_14 (kWhs),Barn-Kitchen-Kitchen Stove (kWhs),Barn-Circuit_16 (kWhs)
01/14/2026 13:00:00,1.5929,1.8476,No CT,0.0000,0.3940,0.0006,0.1838,0.0000,0.0000,0.0006,0.0025,1.4731,0.5787,0.3692,0.0534,0.0134,0.0431,0.0340,0.0774
01/14/2026 14:00:00,1.3539,1.1133,No CT,0.0000,0.0000,0.0000,0.1852,0.0000,0.0000,0.0000,0.0036,1.4290,0.0769,0.3737,0.0518,0.0154,0.0437,0.0199,0.0763
01/14/2026 15:00:00,2.8483,2.6579,No CT,0.0000,2.8643,0.0044,0.1852,0.0000,0.0000,0.0006,0.2094,1.4888,0.0107,0.2690,0.0454,0.0147,0.0451,0.0370,0.0768
01/14/2026 16:00:00,2.0777,2.1191,No CT,0.0000,2.1108,0.0032,0.1816,0.0000,0.0000,0.0002,0.0076,1.4162,0.0100,0.0260,0.0514,0.0140,0.0449,0.0258,0.0747
01/14/2026 17:00:00,1.0311,1.0693,No CT,0.0000,0.0000,0.0000,0.1801,0.0000,0.0000,0.0000,0.0001,1.4913,0.0091,0.0273,0.0501,0.0146,0.0440,0.0130,0.0733
01/14/2026 18:00:00,1.1152,1.1036,No CT,0.0000,0.0000,0.0000,0.1800,0.0000,0.0269,0.0000,0.0100,1.5460,0.0092,0.0529,0.0475,0.0147,0.0439,0.0141,0.0735
01/14/2026 19:00:00,1.8826,1.6514,No CT,0.0000,1.0298,0.0014,0.2116,0.0000,0.0378,0.0001,0.0600,1.5176,0.0099,0.2405,0.0459,0.0153,0.0444,0.0243,0.0764
01/14/2026 20:00:00,2.2085,1.1900,No CT,0.1495,0.0005,0.0000,0.2049,0.0000,0.0012,0.0000,0.0338,1.5025,0.0102,1.0832,0.0454,0.0183,0.0431,0.0336,0.0894
01/14/2026 21:00:00,4.7386,4.0046,No CT,4.4354,1.0209,0.0022,0.2841,0.0000,0.0246,0.0025,0.0815,1.5096,0.0118,0.4228,0.0633,0.0152,0.0459,0.0662,0.1087
01/14/2026 22:00:00,3.6402,2.9751,No CT,3.6019,0.0104,0.0000,0.1817,0.0000,0.0240,0.0002,0.0143,1.5113,0.0109,0.4281,0.1314,0.0154,0.0451,0.0407,0.1075
01/14/2026 23:00:00,3.7411,3.1470,No CT,3.9027,0.0115,0.0000,0.1843,0.0000,0.0042,0.0003,0.0275,1.5301,0.0112,0.4150,0.0898,0.0154,0.0457,0.0416,0.1072
01/15/2026 00:00:00,2.4629,1.8804,No CT,1.5800,0.0045,0.0000,0.1276,0.0000,0.0223,0.0002,0.0057,1.5216,0.0150,0.4970,0.0580,0.0160,0.0293,0.0290,0.0591
01/15/2026 01:00:00,1.3407,0.9626,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0008,0.0000,0.0000,1.4974,0.0095,0.4997,0.0528,0.0160,0.0000,0.0198,0.0015
01/15/2026 02:00:00,1.2277,0.9532,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0037,0.0000,0.0000,1.4778,0.0095,0.4079,0.0394,0.0157,0.0000,0.0178,0.0009
01/15/2026 03:00:00,1.1950,0.9074,No CT,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,1.3895,0.0094,0.4252,0.0402,0.0158,0.0000,0.0176,0.0009
01/15/2026 04:00:00,1.3302,1.1107,No CT,0.0000,0.3968,0.0006,0.0081,0.0000,0.0000,0.0000,0.0089,1.3804,0.0095,0.3581,0.0395,0.0154,0.0006,0.0190,0.0005
01/15/2026 05:00:00,1.1407,0.8993,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3753,0.0093,0.3796,0.0397,0.0156,0.0000,0.0167,0.0008
01/15/2026 06:00:00,1.1071,0.8911,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3589,0.0093,0.3542,0.0393,0.0156,0.0000,0.0163,0.0004
01/15/2026 07:00:00,1.8124,0.8980,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0263,0.0000,0.0155,1.1687,0.0101,1.1316,0.0400,0.0185,0.0429,0.0309,0.0601
01/15/2026 08:00:00,2.1252,1.7821,No CT,0.0000,1.4315,0.0023,0.0086,0.0000,0.0224,0.0003,0.1323,1.3344,0.0107,0.5618,0.0372,0.0160,0.0439,0.0312,0.0612
01/15/2026 09:00:00,2.7867,2.4862,No CT,0.0000,2.8871,0.0047,0.0093,0.0000,0.0047,0.0001,0.0111,1.3764,0.0106,0.5310,0.0464,0.0155,0.0449,0.0392,0.0596
01/15/2026 10:00:00,1.0430,0.9750,No CT,0.0000,0.0000,0.0000,0.0081,0.0000,0.0199,0.0000,0.0000,1.3377,0.0091,0.1798,0.1327,0.0149,0.0443,0.0152,0.0569
01/15/2026 11:00:00,0.9532,0.9968,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0211,0.0000,0.0085,1.3806,0.0095,0.1073,0.0882,0.0145,0.0438,0.0133,0.0561
01/15/2026 12:00:00,0.9215,1.0203,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0011,0.0000,0.0076,1.4219,0.0091,0.1129,0.0507,0.0147,0.0442,0.0131,0.0568
01/15/2026 13:00:00,0.8889,1.7660,No CT,0.0000,0.0000,0.0000,0.0084,0.0000,0.0049,0.0016,0.0013,1.4433,0.7490,0.0696,0.0496,0.0114,0.0432,0.0205,0.0575
01/15/2026 14:00:00,0.9024,1.0856,No CT,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,1.5654,0.0091,0.0313,0.0503,0.0143,0.0440,0.0128,0.0559
01/15/2026 15:00:00,1.1023,1.2856,No CT,0.0000,0.3656,0.0006,0.0083,0.0000,0.0000,0.0000,0.0013,1.5909,0.0092,0.0310,0.0502,0.0143,0.0442,0.0153,0.0559
01/15/2026 16:00:00,1.0752,1.1106,No CT,0.0000,0.0000,0.0000,0.0081,0.0000,0.0253,0.0000,0.0218,1.5921,0.0091,0.1527,0.0503,0.0149,0.0439,0.0154,0.0563
01/15/2026 17:00:00,3.6040,3.3479,No CT,0.0000,4.1854,0.0070,0.0098,0.0000,0.0066,0.0005,0.2039,1.5521,0.0150,0.4892,0.0488,0.0153,0.0455,0.0499,0.0603
01/15/2026 18:00:00,2.0883,1.9216,No CT,0.0000,1.4284,0.0025,0.1403,0.0000,0.0040,0.0002,0.0379,1.5315,0.0103,0.3541,0.0460,0.0903,0.0444,0.0288,0.0770
01/15/2026 19:00:00,1.3210,1.5668,No CT,0.0000,0.0000,0.0000,0.1738,0.0000,0.0000,0.0002,0.0001,1.5368,0.3296,0.2892,0.0589,0.1517,0.0436,0.0219,0.0856
01/15/2026 20:00:00,1.3069,1.2431,No CT,0.0000,0.0000,0.0000,0.1737,0.0000,0.0000,0.0000,0.0000,1.5376,0.0097,0.2894,0.0472,0.1517,0.0439,0.0183,0.0850
01/15/2026 21:00:00,1.3044,1.2279,No CT,0.0000,0.0000,0.0000,0.1749,0.0000,0.0000,0.0000,0.0000,1.5057,0.0093,0.2897,0.0595,0.1530,0.0439,0.0184,0.0854
01/15/2026 22:00:00,1.2872,1.2183,No CT,0.0000,0.0000,0.0000,0.1775,0.0000,0.0000,0.0000,0.0075,1.4906,0.0093,0.2904,0.0431,0.1515,0.0439,0.0181,0.0820
01/15/2026 23:00:00,2.7510,1.9580,No CT,0.0000,1.5891,0.0028,0.0888,0.0000,0.0000,0.0000,0.1718,1.4694,0.0106,0.9642,0.0449,0.0606,0.0233,0.0420,0.0383
01/16/2026 00:00:00,4.0580,2.6774,No CT,0.0000,3.3071,0.0053,0.0094,0.0000,0.0000,0.0000,0.0135,1.4789,0.0118,1.5720,0.0343,0.0231,0.0048,0.0628,0.0109
01/16/2026 01:00:00,2.3491,0.9285,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.4223,0.0103,1.5926,0.0324,0.0236,0.0000,0.0409,0.0088
01/16/2026 02:00:00,2.3354,0.9129,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3910,0.0103,1.5972,0.0311,0.0236,0.0000,0.0409,0.0088
01/16/2026 03:00:00,2.3351,0.9142,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,1.3959,0.0103,1.5953,0.0304,0.0236,0.0000,0.0409,0.0088
01/16/2026 04:00:00,2.3131,0.9118,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3926,0.0103,1.5763,0.0295,0.0236,0.0000,0.0406,0.0087
01/16/2026 05:00:00,1.4103,1.1013,No CT,0.0000,0.3777,0.0006,0.0081,0.0000,0.0000,0.0000,0.0013,1.3949,0.0094,0.4628,0.0279,0.0193,0.0006,0.0219,0.0013
01/16/2026 06:00:00,2.0163,0.9032,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3775,0.0100,1.2846,0.0285,0.0227,0.0000,0.0352,0.0068
01/16/2026 07:00:00,2.2784,0.9538,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0270,0.0000,0.0191,1.3709,0.0102,1.5058,0.0376,0.0234,0.0284,0.0401,0.0252
01/16/2026 08:00:00,3.5436,2.4590,No CT,0.0000,2.6306,0.0045,0.0093,0.0000,0.0218,0.0000,0.2291,1.3927,0.0129,1.3015,0.0422,0.0190,0.0443,0.0558,0.0363
01/16/2026 09:00:00,2.4577,2.4114,No CT,0.0000,2.7983,0.0048,0.0091,0.0000,0.0235,0.0003,0.0271,1.3747,0.0104,0.2331,0.0396,0.0177,0.0451,0.0340,0.0298
01/16/2026 10:00:00,1.5364,0.9701,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0032,0.0000,0.0000,1.3925,0.0096,0.7692,0.0400,0.0174,0.0434,0.0260,0.0305
01/16/2026 11:00:00,1.7874,0.9763,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0021,0.0000,0.0000,1.4016,0.0098,1.0200,0.0423,0.0182,0.0431,0.0308,0.0315
01/16/2026 12:00:00,3.1162,2.3760,No CT,0.0000,2.5965,0.0043,0.0091,0.0000,0.0101,0.0000,0.1263,1.3812,0.0109,0.9551,0.0443,0.0177,0.0444,0.0475,0.0326
01/16/2026 13:00:00,2.9872,2.1043,No CT,0.0000,1.4632,0.0029,0.0088,0.0000,0.0185,0.0023,0.0107,1.3851,0.3671,1.4538,0.0458,0.0212,0.0431,0.0529,0.0432
01/16/2026 14:00:00,2.2401,0.9828,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0058,0.0000,0.0000,1.3758,0.0104,1.4800,0.0461,0.0201,0.0429,0.0394,0.0461
01/16/2026 15:00:00,2.2088,0.9923,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,1.3971,0.0103,1.4462,0.0463,0.0200,0.0429,0.0389,0.0460
01/16/2026 16:00:00,2.1780,0.9864,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,1.3827,0.0103,1.4229,0.0463,0.0199,0.0429,0.0385,0.0456
01/16/2026 17:00:00,2.1175,0.9894,No CT,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,1.3932,0.0102,1.3567,0.0463,0.0197,0.0429,0.0374,0.0449
01/16/2026 18:00:00,2.6527,1.2869,No CT,0.0000,0.5223,0.0008,0.0083,0.0000,0.0263,0.0000,0.0184,1.3839,0.0106,1.5988,0.0462,0.0237,0.0428,0.0458,0.0605
01/16/2026 19:00:00,2.4454,1.0108,No CT,0.0000,0.0000,0.0000,0.0082,0.0000,0.0015,0.0000,0.0104,1.3903,0.0116,1.6817,0.0476,0.0211,0.0427,0.0439,0.0556
01/16/2026 20:00:00,2.6596,1.2027,No CT,0.0000,0.3984,0.0007,0.0083,0.0000,0.0057,0.0000,0.0087,1.3784,0.0135,1.6956,0.0487,0.0209,0.0428,0.0466,0.0470
01/16/2026 21:00:00,4.6323,3.2172,No CT,0.0000,4.1460,0.0070,0.0099,0.0000,0.0000,0.0000,0.2127,1.3141,0.0134,1.6851,0.0484,0.0200,0.0446,0.0725,0.0502
01/16/2026 22:00:00,3.1398,1.6100,No CT,0.0000,1.1960,0.0019,0.0153,0.0000,0.0268,0.0000,0.0254,1.3255,0.0111,1.7616,0.0486,0.0211,0.0432,0.0531,0.0617
01/16/2026 23:00:00,2.7211,1.1969,No CT,0.0000,0.4631,0.0008,0.0083,0.0000,0.0016,0.0000,0.0118,1.3137,0.0108,1.7624,0.0472,0.0241,0.0373,0.0478,0.0454
01/17/2026 00:00:00,2.3925,0.8689,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0031,0.0000,0.0000,1.2989,0.0104,1.6929,0.0371,0.0209,0.0000,0.0425,0.0092
01/17/2026 01:00:00,3.3604,2.0490,No CT,0.0000,2.0719,0.0035,0.0089,0.0000,0.0000,0.0000,0.2026,1.3037,0.0112,1.4963,0.0355,0.0197,0.0031,0.0541,0.0093
01/17/2026 02:00:00,2.7555,2.4450,No CT,0.0000,3.0631,0.0051,0.0092,0.0000,0.0000,0.0001,0.0115,1.3039,0.0106,0.4716,0.0340,0.0155,0.0048,0.0393,0.0034
01/17/2026 03:00:00,1.4770,0.8618,No CT,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,1.2975,0.0096,0.7713,0.0338,0.0174,0.0000,0.0248,0.0032
01/17/2026 04:00:00,2.3976,0.8588,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2804,0.0104,1.6248,0.1248,0.0207,0.0000,0.0427,0.0090
01/17/2026 05:00:00,1.5441,0.8816,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3284,0.0096,0.7988,0.0581,0.0206,0.0000,0.0260,0.0035
01/17/2026 06:00:00,2.3290,0.8954,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.3503,0.0104,1.6075,0.0377,0.0209,0.0000,0.0414,0.0089
01/17/2026 07:00:00,2.5437,1.1313,No CT,0.0000,0.3791,0.0006,0.0082,0.0000,0.0210,0.0000,0.0207,1.3843,0.0111,1.5751,0.0409,0.0207,0.0083,0.0438,0.0140
01/17/2026 08:00:00,2.3850,1.1736,No CT,0.0000,0.3715,0.0006,0.0082,0.0000,0.0268,0.0000,0.0091,1.3524,0.0117,1.4218,0.0478,0.0199,0.0431,0.0412,0.0477
01/17/2026 09:00:00,2.2226,0.9603,No CT,0.0000,0.0000,0.0000,0.1177,0.0000,0.0014,0.0000,0.0000,1.2810,0.0102,1.4090,0.0470,0.0200,0.0428,0.0388,0.0686
01/17/2026 10:00:00,2.2998,1.0689,No CT,0.0000,0.0000,0.0000,0.1759,0.0000,0.0047,0.0000,0.0085,1.2739,0.0103,1.4256,0.0467,0.0199,0.0429,0.0410,0.0777
01/17/2026 11:00:00,2.2724,0.9689,No CT,0.0000,0.0000,0.0000,0.1745,0.0000,0.0000,0.0000,0.0000,1.2815,0.0102,1.4087,0.0462,0.0230,0.0428,0.0392,0.0772
01/17/2026 12:00:00,2.0818,1.2904,No CT,0.0000,0.0000,0.0000,0.1762,0.0000,0.0000,0.0007,0.0126,1.2064,0.2265,1.2427,0.0453,0.0184,0.0429,0.0398,0.0774
01/17/2026 13:00:00,2.2604,1.1239,No CT,0.0000,0.0000,0.0000,0.1784,0.0000,0.0000,0.0000,0.0004,1.1881,0.1667,1.4378,0.0460,0.0194,0.0427,0.0414,0.0785
01/17/2026 14:00:00,4.3048,3.0760,No CT,0.0000,4.1123,0.0065,0.1756,0.0000,0.0000,0.0000,0.1473,1.1347,0.0118,1.3358,0.0457,0.0188,0.0447,0.0647,0.0625
01/17/2026 15:00:00,2.2914,1.0125,No CT,0.0000,0.2321,0.0004,0.1770,0.0000,0.0000,0.0000,0.0009,1.1756,0.0101,1.3578,0.0461,0.0200,0.0429,0.0386,0.0599
01/17/2026 16:00:00,2.1653,0.8890,No CT,0.0000,0.0000,0.0000,0.1764,0.0000,0.0000,0.0000,0.0000,1.1702,0.0100,1.3543,0.0461,0.0200,0.0428,0.0369,0.0596
01/17/2026 17:00:00,2.4148,1.0742,No CT,0.0000,0.2660,0.0004,0.1749,0.0000,0.0281,0.0000,0.0047,1.2517,0.0102,1.3991,0.0464,0.0230,0.0428,0.0403,0.0600
01/17/2026 18:00:00,2.5710,1.0512,No CT,0.0000,0.0956,0.0002,0.1748,0.0005,0.0175,0.0000,0.0088,1.2604,0.0603,1.6490,0.0464,0.0211,0.0425,0.0446,0.0701
01/17/2026 19:00:00,2.5130,0.9527,No CT,0.0000,0.0000,0.0000,0.1770,0.0005,0.0036,0.0000,0.0075,1.2464,0.0103,1.6591,0.0471,0.0210,0.0425,0.0437,0.0786
01/17/2026 20:00:00,2.4597,0.9540,No CT,0.0000,0.0000,0.0000,0.1772,0.0000,0.0254,0.0000,0.0000,1.2520,0.0132,1.5851,0.0473,0.0207,0.0426,0.0423,0.0784
01/17/2026 21:00:00,2.8134,1.2147,No CT,0.0000,0.3634,0.0006,0.1759,0.0000,0.0031,0.0000,0.0125,1.2820,0.0119,1.6953,0.0468,0.0210,0.0426,0.0719,0.0686
01/17/2026 22:00:00,2.5275,0.9418,No CT,0.0000,0.0000,0.0000,0.1769,0.0000,0.0038,0.0000,0.0000,1.2688,0.0104,1.6694,0.0462,0.0212,0.0425,0.0438,0.0612
01/17/2026 23:00:00,2.8763,1.3969,No CT,0.0000,0.9219,0.0016,0.0193,0.0000,0.0000,0.0000,0.1485,1.2217,0.0109,1.6613,0.0370,0.0205,0.0117,0.0488,0.0179
01/18/2026 00:00:00,3.3529,2.6992,No CT,0.0000,3.6365,0.0060,0.0094,0.0000,0.0000,0.0001,0.0135,1.2194,0.0112,0.8263,0.0325,0.0200,0.0056,0.0493,0.0057
01/18/2026 01:00:00,2.2561,0.8186,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2139,0.0103,1.6083,0.0335,0.0207,0.0000,0.0403,0.0088
01/18/2026 02:00:00,2.2501,0.8551,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0035,1.2789,0.0103,1.5664,0.0334,0.0205,0.0000,0.0400,0.0091
01/18/2026 03:00:00,2.5474,1.0720,No CT,0.0000,0.4399,0.0007,0.0083,0.0000,0.0000,0.0000,0.0018,1.2618,0.0106,1.6506,0.0336,0.0209,0.0006,0.0444,0.0093
01/18/2026 04:00:00,2.2818,0.8403,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2609,0.0104,1.6115,0.0324,0.0207,0.0000,0.0407,0.0088
01/18/2026 05:00:00,2.2641,0.8396,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2534,0.0104,1.5971,0.0329,0.0236,0.0000,0.0404,0.0088
01/18/2026 06:00:00,2.2559,0.8358,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2494,0.0103,1.5908,0.0331,0.0208,0.0000,0.0402,0.0087
01/18/2026 07:00:00,2.2488,0.8281,No CT,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,1.2360,0.0103,1.5909,0.0329,0.0206,0.0000,0.0402,0.0087
01/18/2026 08:00:00,2.2737,1.3394,No CT,0.0000,0.4432,0.0007,0.0083,0.0000,0.0282,0.0002,0.0251,1.2423,0.2486,1.3376,0.0325,0.0187,0.0188,0.0415,0.0162
01/18/2026 09:00:00,2.1024,1.7385,No CT,0.0000,0.0000,0.0000,0.1194,0.0000,0.0028,0.0000,0.0086,1.2507,0.7156,1.3009,0.0326,0.0165,0.0421,0.0458,0.0512
