Time Bucket (America/New_York),Barn-Mains_A (kWatts),Barn-Mains_B (kWatts),Barn-Mains_C (kWatts),Barn-Clothes Dryer-Dryer (kWatts),Barn-Water Heater-Water Heater (kWatts),Barn-Other-garage lights? (kWatts),Barn-Other-Radon & (kWatts),Barn-Circuit_5 (kWatts),Barn-Circuit_6 (kWatts),Barn-Circuit_7 (kWatts),Barn-Pump-Well  (kWatts),Barn-Heat Pump-Heat Pump (kWatts),Barn-Other-Kitchen Outlets (kWatts),Barn-Other-Master Bedroom (kWatts),Barn-Circuit_12 (kWatts),Barn-Circuit_13 (kWatts),Barn-Circuit_14 (kWatts),Barn-Kitchen-Kitchen Stove (kWatts),Barn-Circuit_16 (kWatts)
06/14/2026 14:46:58,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:46:59,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:00,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:01,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:02,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:03,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:04,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:05,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:06,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:07,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:08,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:09,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:10,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
06/14/2026 14:47:11,0.7127,0.7766,No CT,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.9583,0.0000,0.0716,0.0400,0.0102,0.1251,0.0000,0.0000
